[302, 280;
 301, 281;
 290, 281;
 289, 282;
 279, 282;
 278, 283;
 274, 283;
 273, 284;
 272, 284;
 270, 286;
 270, 290;
 269, 291;
 269, 294;
 270, 295;
 270, 308;
 272, 310;
 272, 313;
 270, 315;
 270, 319;
 272, 321;
 272, 339;
 274, 341;
 274, 360;
 276, 362;
 276, 363;
 278, 365;
 285, 365;
 287, 367;
 290, 367;
 292, 365;
 299, 365;
 300, 364;
 313, 364;
 314, 363;
 322, 363;
 323, 364;
 328, 364;
 330, 362;
 334, 362;
 335, 363;
 338, 363;
 340, 361;
 340, 305;
 339, 304;
 339, 298;
 338, 297;
 338, 296;
 337, 295;
 337, 291;
 336, 290;
 336, 287;
 334, 285;
 334, 282;
 333, 282;
 332, 281;
 331, 281;
 330, 280;
 320, 280;
 319, 281;
 315, 281;
 314, 280]
[301, 281;
 302, 280;
 314, 280;
 315, 281;
 319, 281;
 320, 280;
 330, 280;
 331, 281;
 332, 281;
 334, 283;
 334, 285;
 336, 287;
 336, 290;
 337, 291;
 337, 295;
 338, 296;
 338, 297;
 339, 298;
 339, 304;
 340, 305;
 340, 361;
 338, 363;
 335, 363;
 334, 362;
 330, 362;
 328, 364;
 323, 364;
 322, 363;
 314, 363;
 313, 364;
 300, 364;
 299, 365;
 292, 365;
 290, 367;
 287, 367;
 285, 365;
 278, 365;
 276, 363;
 276, 362;
 274, 360;
 274, 341;
 272, 339;
 272, 321;
 270, 319;
 270, 315;
 272, 313;
 272, 310;
 270, 308;
 270, 295;
 269, 294;
 269, 291;
 270, 290;
 270, 286;
 272, 284;
 273, 284;
 274, 283;
 278, 283;
 279, 282;
 289, 282;
 290, 281]
